Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?,Highest Injury Severity
In-Vehicle (Commercial / Test),9:19,"Other, see Narrative",Intersection,24.90056051328102,CA ,Y, , , , , ,Unknown,Unknown,Making Left Turn,Unknown,6.852760481377306,Pole / Tree, , ,Y, , ,Y, , ,Yes,Unknown,Not Applicable,"Unknown, see Narrative",Yes,Freightliner,2021.2144504546234,19234.623930077894,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),21:38,Dark - Not Lighted,Rural Road,25.114984673404965,CA ,Y, , , , , ,Wet,No Unusual Conditions,Stopped,Parked,7.181049208412665,"Other, see Narrative", ,Y, , , , , ,Y,Yes,Unknown,No,ADS,Yes,Cruise,2020.02592239832,38641.22217991013,Not Applicable,Unknown,Minor
In-Vehicle (Commercial / Test),15:24,Dark - Not Lighted,Street,29.900895617083336,CA , , ,Y, , , ,Dry,No Unusual Conditions,Proceeding Straight,Making U-Turn,2.4846441134539408,Non-Motorist: Other, ,Y, , , , ,Y, ,Yes,Not Applicable,No,ADS,Yes,Honda,2020.61823281559,40205.32378491202,No,Yes,Minor
In-Vehicle (Commercial / Test),13:10,Daylight,Street,24.967170893151927,CA ,Y, , , , , ,"Other, see Narrative",No Unusual Conditions,Proceeding Straight,Lane / Road Departure,7.004088423059076,Non-Motorist: Cyclist, , , , ,Y, , ,Y,Unknown,Unknown,No,ADS,Yes,Chrysler,2019.9729620273238,39251.91517603719,Unknown,No,Minor
In-Vehicle and Remote (Commercial / Test),16:43,Dawn / Dusk,Rural Road,25.04043935411732,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Parked,4.601530669964383,"Other, see Narrative",Y,Y, , ,Y,Y, ,Y,Yes,Unknown,No,ADS,Yes,Nissan,2020.0906893055787,37506.04047998372,No,No,Minor
In-Vehicle (Commercial / Test),Unknown,Daylight,Street,25.258744390845415,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Lane / Road Departure,6.956501022401631,Non-Motorist: Cyclist, , , , , , , ,Y,Yes,Unknown,No,"Unknown, see Narrative",Yes,Cruise,2020.0405616979983,39252.01267764662,Unknown,No,Minor
In-Vehicle and Remote (Commercial / Test),16:00,Dark - Not Lighted,Highway / Freeway,44.223810714466815,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making U-Turn,Passing,45.10607536205997,"Other, see Narrative",Y, , , ,Y,Y, , ,Yes,Unknown,Not Applicable,ADS,No,Subaru,2021.6599664521318,20822.167585262177,Yes,Yes,Minor
Consumer,17:22,Daylight,Highway / Freeway,63.26107133309645,LA , , , ,Y, , ,"Other, see Narrative",No Unusual Conditions,Unknown,Passing,67.0277571757993,Non-Motorist: Cyclist,Y,Y, , ,Y,Y, , ,Yes,Yes,No,ADAS,No,Cruise,2020.713567314437,25345.788688309018,Yes,Yes,Minor
Consumer,18:39,Dawn / Dusk,Intersection,33.119273544262605,CA ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Traveling Wrong Way,61.66357611569681,Other Fixed Object, , , , ,Y,Y, , ,Yes,Unknown,Not Applicable,ADAS,No,Honda,2021.9366527817795,20379.50083634625,Yes,Yes,Minor
In-Vehicle and Remote (Commercial / Test),17:08,Dark - Lighted,Highway / Freeway,46.49629682593798,CA ,Y, , , , , ,"Other, see Narrative",No Unusual Conditions,Making Right Turn,Passing,62.181536706666506,"Other, see Narrative", , , , ,Y,Y, , ,Yes,Yes,Yes,ADS,No,Local Motors,2021.8993084803233,21918.397683716736,Yes,No,Minor
Consumer,23:59,Daylight,Highway / Freeway,60.61702637657496,CA ,Y, , , , , ,Unknown,No Unusual Conditions,Stopped,Parked,22.857424040488887,Passenger Car, ,Y, , ,Y,Y, ,Y,Yes,No,Unknown,ADS,Yes,Jaguar,2020.7786812764832,22883.58465424838,Not Applicable,Yes,Minor
Consumer,9:04,Dawn / Dusk,Intersection,34.90080108159872,TX ,Y, , , , , ,Wet,No Unusual Conditions,Unknown,Stopped,3.51500840592249,Passenger Car,Y, , , ,Y,Y, , ,Yes,Yes,No,ADAS,No,Mercedes-Benz,2021.023820837576,975.6622564860243,Yes,Yes,Minor
Consumer,16:54,Dark - Lighted,Intersection,34.93141194700072,UNK,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Stopped,3.4926537518718157,Passenger Car,Y, , ,Y,Y,Y,Y, ,Yes,Yes,No,ADAS,No,LExus,2021.847637533712,932.936736301072,Yes,Yes,Minor
Consumer,14:15,Daylight,Street,34.873579438337565,TX ,Y, , , , , ,Wet,No Unusual Conditions,Unknown,Stopped,3.4383667019850055,Passenger Car,Y, , , ,Y, , , ,Yes,Yes,No,"Unknown, see Narrative",No,Mercedes-Benz,2020.7271954126459,975.9176718257224,Yes,Yes,Minor
Consumer,14:15,Daylight,Street,34.99921949918333,TX ,Y, , , , , ,Wet,No Unusual Conditions,Unknown,Stopped,3.3786282595254655,Passenger Car,Y, , , ,Y,Y, , ,Yes,No,No,ADAS,No,Mercedes-Benz,2020.8727591398476,975.9436886388039,Yes,Yes,Minor
In-Vehicle (Commercial / Test),12:50,Daylight,Street,34.91518249392872,IN ,Y, , , , , ,Unknown,No Unusual Conditions,Making U-Turn,Proceeding Straight,1.2204336018612194,Passenger Car,Y,Y, , , ,Y,Y, ,Yes,Unknown,No,ADAS,Yes,Honda,2020.5736177044255,1193.052195762504,Not Applicable,Yes,Minor
Consumer,06:20,Dawn / Dusk,Highway / Freeway,77.95353392674659,ID , , , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Merging,74.75000541557078,Heavy Truck, ,Y, ,Y, ,Y, , ,Yes,Unknown,Yes,ADAS,No,Subaru,2020.34968481526,6624.284070004268,Unknown,Yes,Minor
"Other, see Narrative",18:00,Daylight,Highway / Freeway,58.88992283566031,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,75.92304890866318,Non-Motorist: Other, , , , ,Y, ,Y,Y,Yes,Unknown,Not Applicable,ADAS,Yes,Ford,2021.1144938664518,7172.824380991777,Yes,Unknown,Minor
Consumer,10:21,Daylight,Street,42.98988722661764,IA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Right Turn,47.7037955400452,Other Fixed Object, ,Y, , ,Y, , ,Y,Yes,Not Applicable,Not Applicable,ADAS,Yes,OLLI,2020.0350216789511,7672.470523702373,Unknown,Yes,Minor
Consumer,08:00,Dawn / Dusk,Highway / Freeway,70.75769565695522,LA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,NM Crossing Roadway,77.92297866086136,Motorcycle,Y, , , ,Y, , , ,Yes,Unknown,Yes,ADAS,No,Subaru,2020.1188915343507,6775.108705166928,Not Applicable,Yes,Minor
Consumer,08:00,Unknown,Highway / Freeway,69.11087983500987,MO ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Merging,78.18511036281016,Non-Motorist: Other,Y, ,Y, , ,Y, , ,Yes,Not Applicable,Yes,ADAS,No,Subaru,2020.3631408854346,6803.158988423198,Not Applicable,Yes,Minor
In-Vehicle and Remote (Commercial / Test),8:27,Daylight,Highway / Freeway,44.62792142789569,FL ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Traveling Wrong Way,35.332623440060814,Other Fixed Object,Y, ,Y, , ,Y,Y, ,"No, see Narrative",Yes,Unknown,ADS,No,Kenworth,2021.375570939642,7332.418341066956,No,Unknown,Minor
In-Vehicle (Commercial / Test),8:50,Daylight,Intersection,24.569120147148965,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,4.8357173252615295,"Other, see Narrative", ,Y, , , , ,Y, ,No Passengers in Vehicle,Yes,No,ADS,Yes,Cruise,2023.0096416211734,7361.165966822888,No,No,Minor
"Other, see Narrative",12:24,Daylight,Intersection,60.694218391232326,CT ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Stopped,77.07791921737874,Other Fixed Object,Y,Y,Y, ,Y,Y, , ,"No, see Narrative",Unknown,Unknown,ADAS,No,Lucid Motors,2022.5279235554242,7355.543692902298,Not Applicable,Unknown,Minor
Remote (Commercial / Test),21:10,Daylight,Highway / Freeway,25.038646863129927,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,NM in Roadway - Other,5.277495992519938,Non-Motorist: Pedestrian, ,Y, , , , ,Y, ,Unknown,No,No,"Unknown, see Narrative",No,Cruise,2022.6943777984723,7896.240243819913,No,Yes,Minor
Consumer,0:35,Daylight,Street,30.547662318177686,NJ ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Parked,36.05919612218099,Heavy Truck, , ,Y, , , ,Y, ,No Passengers in Vehicle,Unknown,Not Applicable,ADAS,Yes,Jaguar,2022.0257353799827,7309.614507240801,No,No,Minor
In-Vehicle and Remote (Commercial / Test),1:50,Dark - Not Lighted,Rural Road,25.8531098174255,FL ,Y, , , , , ,Dry,No Unusual Conditions,Making Left Turn,Passing,-0.03309806752627834,Pickup Truck, ,Y, , , , , ,Y,Yes,Not Applicable,Not Applicable,ADS,Yes,Ford,2020.742507246836,1100.7940661223583,No,Yes,Minor
Remote (Commercial / Test),12:50,Dark - Lighted,Rural Road,25.48976154789113,CA ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Merging,-0.032036955299824706,SUV, ,Y, ,Y, , , ,Y,Yes,Unknown,No,ADS,Yes,EZ10,2020.0451590995115,1246.0492131588749,Not Applicable,Yes,Minor
Consumer,2:19,Dark - Lighted,Street,29.97199560316871,DC ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Making U-Turn,16.83160651432408,Pickup Truck, , , , , , , , ,Unknown,No,Not Applicable,ADAS,No,Hyundai,2020.9020286124519,1474.221997701457,Unknown,No,Minor
In-Vehicle (Commercial / Test),12:22,Daylight,Street,30.08400832433458,FL ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Right Turn,-0.14406213652727498,SUV, , , , , , , , ,Yes,No,No,ADS,Yes,Ford,2020.1769742922381,1278.0961440530718,No,Yes,Minor
Consumer,3:53,"Other, see Narrative",Street,28.588432232048557,NY ,Y, , , , , ,Snow / Slush / Ice,Traffic Incident,Parking Maneuver,NM Crossing Roadway,3.11338302520595,Pickup Truck, , , , , ,Y, , ,Yes,No,No,"Unknown, see Narrative",No,Ford,2021.9648172748132,1842.6952380073587,Not Applicable,Yes,Minor
Consumer,17:31,Dark - Not Lighted,Highway / Freeway,64.751708621942,IA ,Y, , , , , ,Dry,Unknown,Proceeding Straight,Merging,66.88448317268625,Pickup Truck,Y, ,Y, ,Y,Y, , ,Unknown,No,Yes,ADAS,No,Subaru,2019.8795358838227,58212.8214659619,Not Applicable,Yes,Minor
In-Vehicle (Commercial / Test),13:01,Dark - Unknown Lighting,Intersection,27.99718990593658,CT ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Parked,15.239484729146888,Passenger Car,Y,Y, , ,Y, , , ,Yes,Not Applicable,Unknown,ADS,Yes,Tesla,2016.74406700927,58137.05522672913,No,Yes,Minor
Consumer,18:38,Daylight,Highway / Freeway,33.893115443437644,GA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Passing,30.808099509109923,Pickup Truck, ,Y, , , ,Y, , ,Yes,Unknown,Not Applicable,ADS,No,Toyota,2016.7294987102894,57910.01950369179,No,Unknown,Minor
In-Vehicle (Commercial / Test),17:27,Daylight,Parking Lot,51.27858077614561,CT ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,NM in Roadway - Other,24.865213359901645,Passenger Car, , , , , ,Y,Y,Y,Yes,Yes,No,"Unknown, see Narrative",No,Tesla,2019.1416389085973,60891.234507850364,Not Applicable,Yes,Minor
Consumer,17:31,Dark - Not Lighted,Highway / Freeway,64.98706258948546,IA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Merging,67.11954361498978,Pickup Truck,Y, , , ,Y,Y, , ,Yes,No,No,ADAS,No,Subaru,2019.9801267533765,58212.966055452314,No,Yes,Minor
Consumer,Unknown,Unknown,Intersection,25.0408410955244,CA ,Y, , , , , ,Unknown,Unknown,Lane / Road Departure,Traveling Wrong Way,3.452506045269679,Unknown, , ,Y, , , , , ,Unknown,Unknown,Unknown,"Unknown, see Narrative",No,Honda,2020.8194932630931,18698.13674370158,Unknown,Yes,Minor
In-Vehicle and Remote (Commercial / Test),Unknown,Daylight,Intersection,25.158645183206563,GA ,Y, , , , , ,Unknown,Unknown,Making Left Turn,Unknown,3.5854440733845405,Unknown, , ,Y, ,Y,Y, , ,Unknown,Unknown,Yes,ADS,No,Honda,2019.88221330858,18697.83712065615,Unknown,Yes,Minor
In-Vehicle and Remote (Commercial / Test),Unknown,Unknown,Intersection,25.340059834546174,GA , , ,Y, , , ,Unknown,Unknown,Stopped,Parked,3.387766921540793,Pickup Truck, , ,Y, , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2020.5736116841624,18698.171155004402,Unknown,Yes,Minor
In-Vehicle and Remote (Commercial / Test),9:20,"Other, see Narrative",Parking Lot,25.015096467894487,CA , , ,Y, , , ,Unknown,Unknown,Stopped,Stopped,3.585861910027904,Unknown, , ,Y, , , , , ,Unknown,Unknown,Unknown,ADS,Yes,Honda,2020.9557171141228,18698.2109532792,No,Yes,Minor
Consumer,Unknown,Unknown,Street,24.825855705779027,CA , , , ,Y, , ,Unknown,Unknown,Proceeding Straight,Unknown,3.7077191204422926,Unknown, , ,Y, , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2020.8065565841916,18698.14360065828,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),13:14,Daylight,Highway / Freeway,26.785848354053364,IN ,Y, , , , , ,Snow / Slush / Ice,No Unusual Conditions,Proceeding Straight,Stopped,3.627345746195842,Heavy Truck, , , ,Y, , , , ,Unknown,No,No,"Unknown, see Narrative",No,Cadillac,2020.4333387784075,1817.6416490223914,No,Yes,Minor
Consumer,4:37,Unknown,Highway / Freeway,25.126807478770328,NY , ,Y, , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.8320061851546074,Heavy Truck, ,Y,Y, , , ,Y, ,Unknown,Unknown,No,"Unknown, see Narrative",No,Cruise,2022.1497945414055,2272.6469434144374,Unknown,Yes,Minor
Consumer,13:24,"Other, see Narrative",Rural Road,26.33965607521561,IA , , ,Y, , , ,Snow / Slush / Ice,Traffic Incident,Proceeding Straight,NM Moving on Sidewalk,3.481818882928047,Heavy Truck,Y,Y, , , , , , ,Yes,Not Applicable,No,ADS,No,Cadillac,2020.7603956401767,1413.6523742794977,No,Yes,Minor
Consumer,13:30,"Other, see Narrative",Intersection,33.084901924902965,TX ,Y, , , , , ,Unknown,"Other, see Narrative",Stopped,Traveling Wrong Way,3.666842048580434,Non-Motorist: Pedestrian,Y, , , , ,Y, , ,Yes,Yes,Yes,ADAS,No,Cadillac,2021.0310473071493,1894.6274427570415,Yes,Yes,Minor
Consumer,13:10,Daylight,Parking Lot,28.037429603407794,LA ,Y, , , , , ,Snow / Slush / Ice,No Unusual Conditions,Merging,Merging,1.9391135132526984,"Other, see Narrative",Y,Y, , , , , , ,Yes,No,No,ADAS,Yes,EZ10,2020.9048467095497,1330.603231214646,Not Applicable,Yes,Minor
Consumer,10:21,Daylight,Intersection,44.96968790809357,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Proceeding Straight,3.820698041953244,Passenger Car,Y, , ,Y,Y, , , ,Unknown,No,No,ADAS,No,Ford,2019.8484394475447,10448.967664464399,No,Yes,Minor
Consumer,8:51,"Other, see Narrative",Highway / Freeway,45.055999072202724,CT ,Y, , , , , ,"Other, see Narrative",Traffic Incident,Proceeding Straight,Traveling Wrong Way,3.434628430085172,Passenger Car,Y, , ,Y,Y, , , ,Unknown,Unknown,Not Applicable,ADAS,No,KIA,2021.7820527338208,11031.49382576389,Not Applicable,Unknown,Minor
Consumer,17:00,Daylight,Intersection,44.91347088262791,AZ ,Y, , , , , ,"Other, see Narrative",No Unusual Conditions,Stopped,Proceeding Straight,3.481206965599408,Pickup Truck, , , ,Y,Y, , , ,Unknown,No,No,ADAS,No,Ford,2019.978908389243,10448.836816301458,No,Yes,Minor
Consumer,10:21,Daylight,Intersection,44.93567169326741,AZ ,Y, , , , , ,Unknown,No Unusual Conditions,Stopped,Proceeding Straight,3.6044239330971495,Passenger Car, , , ,Y,Y, , , ,Unknown,No,No,ADAS,No,Ford,2020.2486103626877,10448.696105819166,Unknown,Yes,Minor
Consumer,13:15,Dark - Not Lighted,Highway / Freeway,60.89623738371062,CA ,Y, , , , , ,Dry,No Unusual Conditions,Unknown,Proceeding Straight,24.76005862644251,"Other, see Narrative", , , ,Y,Y, , , ,Yes,Not Applicable,Unknown,ADAS,No,Kenworth,2020.462613602344,10231.165764961283,Unknown,Yes,Minor
Consumer,16:16,Unknown,Rural Road,29.640821817334405,LA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Left Turn,29.595847018042356,Other Fixed Object,Y, , , , ,Y, , ,Yes,Not Applicable,Yes,ADAS,Yes,Kia,2019.8724114921813,39658.12018669482,Not Applicable,No,Minor
In-Vehicle (Commercial / Test),21:45,Daylight,Parking Lot,45.18878331828914,UNK,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Left Turn,49.17224708258674,Other Fixed Object, , , , ,Y,Y, ,Y,Yes,No,No,ADS,Yes,Lucid Motors,2020.3804288115969,44681.46239524488,Unknown,Unknown,Minor
In-Vehicle and Remote (Commercial / Test),1:58,Daylight,Intersection,26.884691273794235,MN ,Y, , , , , ,Dry,Unknown,Stopped,"Other, see Narrative",14.848097463455474,Pole / Tree, ,Y, , ,Y, , , ,Yes,Unknown,No,ADAS,No,Tesla,2016.28025452857,52355.721845868626,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),18:33,Dark - Lighted,Street,50.90436405009094,TX ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Merging,37.12411611689797,Pole / Tree, , , , ,Y, ,Y, ,Yes,Not Applicable,No,ADAS,Yes,Kenworth Motor Truck Co,2021.077878341764,45837.56353969178,Unknown,Unknown,Minor
Consumer,17:20,Daylight,Intersection,55.93729218692462,MO ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making U-Turn,62.079189649288786,Pole / Tree,Y, , , ,Y,Y, , ,Yes,No,Not Applicable,ADAS,No,Subaru,2020.634033742242,57321.22563328038,Not Applicable,Yes,Minor
Consumer,4:03,Unknown,Street,34.214122910130556,NM , , , , , , ,Unknown,Unknown,"Other, see Narrative",Unknown,21.42372242631263,Other Fixed Object, , , , ,Y, , , ,Yes,Unknown,Not Applicable,ADAS,No,Mercedes-Benz,2021.9318067247527,13392.196759896387,Unknown,Unknown,Minor
In-Vehicle (Commercial / Test),17:05,Daylight,Street,25.161682383287438,CO ,Y, , , , , ,Snow / Slush / Ice,"Other, see Narrative",Making U-Turn,Proceeding Straight,12.360053366712737,"Other, see Narrative", , , , , , , , ,Yes,No,No,ADS,No,Lincoln,2020.2070555955277,14124.455452869839,Not Applicable,No,Minor
Consumer,17:00,Unknown,Unknown,24.753457802491695,IN , , ,Y, , , ,Unknown,Unknown,Making Right Turn,Unknown,44.877715371539644,Other Fixed Object, , , , ,Y, , , ,Yes,Unknown,No,ADAS,No,Nissan,2020.898175562811,14326.199023459301,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),17:24,Unknown,Street,29.9936011006242,CO ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Unknown,29.724378164914008,Passenger Car, , , , ,Y, , , ,Unknown,Unknown,No,ADS,Yes,Honda,2020.971590596758,12989.675379846187,Unknown,Yes,Minor
Consumer,9:19,Dark - Lighted,Traffic Circle,38.083297049480194,MI , , , , , , ,Unknown,Unknown,Making U-Turn,Unknown,12.774011716642148,Unknown, , , , ,Y, , , ,Unknown,Unknown,No,ADAS,No,NAVYA,2021.9730433466539,13776.239630774624,Unknown,Unknown,Minor
In-Vehicle and Remote (Commercial / Test),8:50,Daylight,Unknown,5.171489897332631,CA ,Y, , , , , ,Dry,"Other, see Narrative","Other, see Narrative",Parked,1.0709926817988626,Other Fixed Object,Y, , , , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Mercedes-Benz,2020.99086809555,58.115078063654344,No,No,Minor
In-Vehicle and Remote (Commercial / Test),15:25,Daylight,Parking Lot,4.833258889825295,CA ,Y, , , , , ,Dry,No Unusual Conditions,"Other, see Narrative",Parked,0.985145437586263,"Other, see Narrative",Y, , , , , , , ,No Passengers in Vehicle,No,No,ADAS,Yes,Mercedes-Benz,2021.207974400663,58.00423161119201,No,No,Minor
Consumer,5:55,Daylight,Rural Road,7.951016444456938,TN ,Y, , , , , ,Wet,No Unusual Conditions,Proceeding Straight,Stopped,1.281743414295933,Unknown, , , , , ,Y, ,Y,"No, see Narrative",Not Applicable,Not Applicable,ADS,Yes,Mercedes-Benz,2020.9232442629648,809.0641141870938,Unknown,Unknown,Minor
In-Vehicle (Commercial / Test),23:34,Daylight,Parking Lot,27.602632654267445,CA , , , ,Y, , ,Unknown,"Other, see Narrative","Other, see Narrative","Other, see Narrative",0.5820727293306754,"Other, see Narrative", , , , , , , , ,"No, see Narrative",No,No,ADAS,Yes,GMC,2020.881661209149,1055.4563507693945,No,No,Minor
In-Vehicle (Commercial / Test),2:11,Daylight,Rural Road,15.952014524648522,MS ,Y, , , , , ,Unknown,No Unusual Conditions,Proceeding Straight,Proceeding Straight,1.5709752828877377,"Other, see Narrative",Y, , , ,Y,Y, ,Y,Unknown,No,No,ADS,Yes,Jaguar,2021.0182531666408,268.38604151566216,Unknown,Unknown,Minor
Consumer,10:49,Unknown,Unknown,24.98535681671306,IL ,Y, , , , , ,Unknown,Unknown,Unknown,Unknown,59.93707997314709,Animal, , ,Y, ,Y, , , ,Unknown,Unknown,No,ADS,No,Honda,2018.1474985965094,18698.019054102213,Unknown,No,Minor
In-Vehicle (Commercial / Test),9:32,Unknown,Street,24.899236347205694,CT , , , , , , ,Unknown,Unknown,Unknown,Unknown,7.597869793101608,Pole / Tree, , ,Y, , , , , ,Unknown,Not Applicable,Unknown,ADS,Yes,Ford,2018.6286652576034,18697.940834396235,Not Applicable,Unknown,Minor
Consumer,Unknown,Unknown,Unknown,25.054769450744224,MO ,Y, , , , , ,Unknown,Unknown,Stopped,Unknown,52.454165848767154,Bus, , ,Y, , , , ,Y,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Cruise,2019.853261821696,18698.087399990236,Unknown,Yes,Minor
Consumer,Unknown,Unknown,Parking Lot,25.249566233677786,GA ,Y, , , , , ,Unknown,Unknown,Unknown,Unknown,8.73265804281531,Pickup Truck,Y, ,Y, , , , , ,Unknown,Unknown,Unknown,ADAS,No,Honda,2018.5259908998057,18697.699815957432,No,No,Minor
Consumer,9:42,Unknown,Rural Road,25.05545967364683,CT ,Y, , , , , ,Unknown,Unknown,Stopped,Unknown,47.64644469460484,"Other, see Narrative", , ,Y, , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2019.0625994745694,18698.070410464694,No,Yes,Minor
Consumer,10:32,Unknown,Highway / Freeway,18.732920217874028,CA ,Y, , , , , ,Dry,"Other, see Narrative",Lane / Road Departure,Stopped,44.10260288300097,First Responder Vehicle,Y, , , , ,Y, ,Y,Unknown,Unknown,Yes,ADS,No,Toyota,2016.17555661703,81445.44425993541,Unknown,Unknown,Minor
In-Vehicle (Commercial / Test),13:30,"Other, see Narrative",Rural Road,28.512083671470247,MO , ,Y, , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,63.26471171912139,Non-Motorist: Cyclist, ,Y, , ,Y, , ,Y,Yes,Yes,No,ADAS,Yes,Ford,2016.505834359596,75018.6595480882,Unknown,Yes,Minor
Consumer,2:44,Unknown,Highway / Freeway,24.828610044097143,FL , , , , , , ,Dry,No Unusual Conditions,Making Left Turn,Unknown,74.04851698397565,First Responder Vehicle,Y, , , ,Y,Y, , ,Unknown,Unknown,Yes,ADAS,No,Cruise,2015.992789086687,82743.9930244391,Unknown,Unknown,Minor
Consumer,08:00,"Other, see Narrative",Highway / Freeway,40.66413131000875,FL , , , , , , ,Dry,Unknown,Stopped,Unknown,73.75023988074707,Motorcycle,Y, , , , , , , ,Unknown,Unknown,Yes,ADAS,No,EQS,2016.3411498227274,86090.7884588966,Unknown,Unknown,Minor
Consumer,06:06,"Other, see Narrative",Street,47.03113640513928,FL , , , ,Y, , ,Dry,Unknown,Lane / Road Departure,Unknown,72.77205202598809,Motorcycle,Y, , , ,Y, , , ,"No, see Narrative",Unknown,Not Applicable,ADAS,No,Maserati,2016.450021144055,84419.5450328595,Unknown,Yes,Minor
In-Vehicle (Commercial / Test),20:30,Daylight,Street,25.189188737775577,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Right Turn,4.99607458482574,"Other, see Narrative", , , , , , , ,Y,Unknown,Not Applicable,No,ADAS,Yes,Cruise,2022.2030149450134,8398.3018928276,No,Yes,Minor
In-Vehicle (Commercial / Test),7:44,Daylight,Street,24.877914846753214,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,7.122231475945133,Other Fixed Object, , , , , , , ,Y,Yes,Not Applicable,Yes,"Unknown, see Narrative",Yes,Cruise,2021.873650568099,8598.14947685823,No,No,Minor
In-Vehicle (Commercial / Test),18:46,Daylight,Street,24.644755287217098,CA , ,Y, , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,7.174956282302114,Motorcycle, , , , , , , ,Y,Yes,Not Applicable,Yes,"Unknown, see Narrative",Yes,Cruise,2021.996067954133,8597.957129337885,No,No,Minor
Consumer,10:15,Daylight,Intersection,38.0161153013746,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,70.7016063081179,Non-Motorist: Other,Y, ,Y, , ,Y, ,Y,Yes,No,No,ADS,Yes,Tesla,2021.6496764003255,7075.247347047762,No,Yes,Minor
Consumer,13:27,Daylight,Parking Lot,24.937102129694242,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Crossing into Opposing Lane,5.64482311640378,Other Fixed Object, , , , , , ,Y, ,Yes,No,No,ADAS,Yes,Cruise,2022.1672699733729,8144.978709869669,No,No,Minor
Consumer,18:40,Daylight,Parking Lot,35.015726512203116,CA , , , ,Y, , ,Unknown,Unknown,Proceeding Straight,Traveling Wrong Way,3.664597020786052,SUV, , , , ,Y, , , ,Unknown,No,Yes,ADS,Yes,Porsche,2022.350041471041,18697.761674303634,No,Yes,Minor
Consumer,18:40,Daylight,Street,31.29192985356917,MA , , , , , , ,Snow / Slush / Ice,Unknown,Proceeding Straight,"Other, see Narrative",3.734860939877162,Bus, , , , , , , ,Y,Yes,Yes,Unknown,ADAS,No,INTERNATIONAL,2022.8385222668483,18697.879487527345,Unknown,Yes,Minor
